Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25
0.304,0.327,0.333,0.478,0.382,0.445,0.33,0.381,0.37,0.377,0.412,0.43,0.38,0.366,0.384,0.386,0.286,0.39,0.369,0.397,0.416,0.386,0.43,0.302,0.305
0.308,0.41,0.344,0.501,0.456,0.559,0.49,0.54,0.403,0.389,0.428,0.532,0.423,0.38,0.39,0.408,0.39,0.547,0.382,0.404,0.566,0.389,0.573,0.373,0.311
0.349,0.43,0.349,0.627,0.472,0.593,0.499,0.71,0.422,0.419,0.436,0.559,0.544,0.396,0.401,0.53,0.397,0.581,0.404,0.41,0.572,0.419,0.584,0.438,0.383
0.378,0.619,1.112,0.664,0.49,0.615,0.525,0.872,0.428,0.426,0.531,0.863,0.554,0.403,0.739,0.555,0.405,0.722,0.42,0.434,0.581,0.45,0.736,0.527,0.396
0.383,0.631,1.155,0.712,0.499,0.833,0.712,0.875,0.525,0.546,0.552,0.867,0.689,0.409,0.877,0.858,0.542,0.755,0.423,0.562,0.745,0.572,0.755,0.581,0.412
0.469,0.695,1.162,0.721,0.507,0.891,0.782,1.028,0.594,0.58,0.553,0.892,0.859,0.554,1.03,0.869,0.581,0.88,0.431,0.573,0.888,0.583,0.897,0.582,0.511
0.477,0.754,1.173,0.797,0.592,0.966,0.825,1.172,0.838,1.062,0.68,1.013,1.053,0.578,1.044,0.892,0.88,1.069,0.546,0.725,1.046,0.591,1.052,0.731,0.529
0.637,0.797,1.274,0.826,0.631,1.052,0.834,1.183,0.87,1.197,1.201,1.015,1.175,0.712,1.2,1.043,1.051,1.202,0.552,0.884,1.202,0.722,1.154,0.85,1.227
0.646,1.117,NaN,NaN,NaN,NaN,0.836,NaN,NaN,1.225,1.205,0,0,0.874,1.209,0,1.058,0,0.588,0.892,0,0.727,1.227,0.853,0
0.653,1.249,NaN,NaN,NaN,NaN,0.839,NaN,NaN,NaN,0,0,0,0.9,0,0,1.241,0,0.715,1.045,0,0.736,0,0.868,0
1.105,NaN,NaN,NaN,NaN,NaN,0.99,NaN,NaN,NaN,0,0,0,1.032,0,0,0,0,0.877,1.207,0,0,0,0.873,0
1.137,NaN,NaN,NaN,NaN,NaN,1.032,NaN,NaN,NaN,0,0,0,1.048,0,0,0,0,1.054,0,0,0,0,0.886,0
1.213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,1.19,0,0,0,0,1.22,0,0,0,0,1.077,0
1.266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0
1.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,1.176,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,1.178,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,1.192,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,1.194,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
